READ TERR 1 2
! WTSLEW
74.3714719943245	0.398831033408356	-0.453360925225056	9.06925087910231e-09	1.14499839195381e-09	-1.10004106690627e-09
75.1479783780215	0.32330269040645	-0.37767535028874	1.10196128973445e-08	1.42561533918022e-09	-1.33732841795536e-09
75.8541182585561	0.323523746036841	-0.382837190128058	1.09645084594429e-08	1.3950635566506e-09	-1.33104187718643e-09
76.6231338569153	0.493920145472686	-0.445491852322419	8.23430928299382e-09	1.0162677602975e-09	-9.98760136028397e-10
77.4639193103033	0.341659653556277	-0.346865307915323	1.12591142192305e-08	1.39298942267392e-09	-1.36593529186981e-09
78.1187498014024	0.393175197460835	-0.313170837542771	1.09587403233041e-08	1.38239049486568e-09	-1.33275436281818e-09
78.8487699339455	0.383719072676797	-0.336844935082297	1.07636228655387e-08	1.36798276760833e-09	-1.30924099816393e-09
79.6428314603413	0.385825618401725	-0.410342453718968	1.01622752071041e-08	1.25002730094607e-09	-1.208016560836e-09
NO NO NO NO NO NO
! WT
87.5755	0.3814	-0.4886	9.08071142e-09	1.188544544e-09	-1.127583006e-09
88.3219	0.3110	-0.3651	1.180098436e-08	1.515645428e-09	-1.446249486e-09
88.9003	0.2824	-0.2673	1.437098212e-08	1.831005946e-09	-1.780269106e-09
89.5479	0.3714	-0.3652	1.072597196e-08	1.415426166e-09	-1.33305634e-09
90.2386	0.2767	-0.3193	1.299390202e-08	1.778467944e-09	-1.659847486e-09
90.8776	0.2568	-0.3623	1.238267316e-08	1.667507336e-09	-1.59863473e-09
91.3959	0.3346	-0.2615	1.325535684e-08	1.691742558e-09	-1.642550228e-09
92.0158	0.2821	-0.2854	1.405749048e-08	1.765828042e-09	-1.71881809e-09
92.5873	0.2480	-0.2893	1.484882718e-08	1.879646934e-09	-1.816472086e-09
93.1614	0.2965	-0.3262	1.243743534e-08	1.681101114e-09	-1.586268618e-09
93.8048	0.3613	-0.3468	1.093689058e-08	1.47514499e-09	-1.39487436e-09
94.6432	0.3946	-0.4771	8.79429364e-09	1.206964968e-09	-1.136816208e-09
95.4352	0.2804	-0.3974	1.176992278e-08	1.507279158e-09	-1.4414521e-09
95.9729	0.2569	-0.2573	1.55167661e-08	1.951703446e-09	-1.897397722e-09
96.4629	0.2704	-0.2331	1.774650768e-08	2.192403312e-09	-2.097559112e-09
96.9600	0.2821	-0.2267	2.01816461e-08	2.368704008e-09	-2.272148098e-09
